"","lng","lat","lterid","year","month","ppt","tmean"
"973",-122.26,44.21,"AND",1990,"01",476.160003662109,3.36999988555908
"974",-122.26,44.21,"AND",1990,"02",298.480010986328,1.25499999523163
"975",-122.26,44.21,"AND",1990,"03",111.900001525879,6.93000030517578
"976",-122.26,44.21,"AND",1990,"04",232.779998779297,11.5299997329712
"977",-122.26,44.21,"AND",1990,"05",120.620002746582,11.8000001907349
"978",-122.26,44.21,"AND",1990,"06",97.379997253418,15.7049999237061
"979",-122.26,44.21,"AND",1990,"07",20.6299991607666,20.9249992370605
"980",-122.26,44.21,"AND",1990,"08",67.5400009155273,20.1199989318848
"981",-122.26,44.21,"AND",1990,"09",14.9200000762939,18.5799999237061
"982",-122.26,44.21,"AND",1990,"10",204.720001220703,9.98499965667725
"983",-122.26,44.21,"AND",1990,"11",313.739990234375,5.22499990463257
"984",-122.26,44.21,"AND",1990,"12",157.490005493164,-1.48499989509583
"985",-122.26,44.21,"AND",1991,"01",208.610000610352,1.8600001335144
"986",-122.26,44.21,"AND",1991,"02",195.039993286133,6.92499971389771
"987",-122.26,44.21,"AND",1991,"03",195.839996337891,4.4850001335144
"988",-122.26,44.21,"AND",1991,"04",220.789993286133,6.8100004196167
"989",-122.26,44.21,"AND",1991,"05",183.440002441406,9.72000026702881
"990",-122.26,44.21,"AND",1991,"06",52.3699989318848,13.5999994277954
"991",-122.26,44.21,"AND",1991,"07",30.0799999237061,19.7299995422363
"992",-122.26,44.21,"AND",1991,"08",32.9099998474121,19.7700004577637
"993",-122.26,44.21,"AND",1991,"09",0,18.8050003051758
"994",-122.26,44.21,"AND",1991,"10",158.220001220703,12.8249998092651
"995",-122.26,44.21,"AND",1991,"11",434.140014648438,5.97499990463257
"996",-122.26,44.21,"AND",1991,"12",212.449996948242,3.27999997138977
"997",-122.26,44.21,"AND",1992,"01",141.880004882812,3.57500004768372
"998",-122.26,44.21,"AND",1992,"02",195.899993896484,6.58500003814697
"999",-122.26,44.21,"AND",1992,"03",37.7900009155273,9.58500003814697
"1000",-122.26,44.21,"AND",1992,"04",265.640014648438,10.9249992370605
"1001",-122.26,44.21,"AND",1992,"05",26.7199993133545,15.875
"1002",-122.26,44.21,"AND",1992,"06",45.2900009155273,17.8400001525879
"1003",-122.26,44.21,"AND",1992,"07",35.0499992370605,18.9599990844727
"1004",-122.26,44.21,"AND",1992,"08",0.159999996423721,20.7250003814697
"1005",-122.26,44.21,"AND",1992,"09",75.0500030517578,15.9849996566772
"1006",-122.26,44.21,"AND",1992,"10",99.9100036621094,12.2550001144409
"1007",-122.26,44.21,"AND",1992,"11",389.950012207031,4.94999980926514
"1008",-122.26,44.21,"AND",1992,"12",374.700012207031,0.860000014305115
"1009",-122.26,44.21,"AND",1993,"01",237.009994506836,-0.444999992847443
"1010",-122.26,44.21,"AND",1993,"02",80.0400009155273,1.57500004768372
"1011",-122.26,44.21,"AND",1993,"03",337.480010986328,6.36499977111816
"1012",-122.26,44.21,"AND",1993,"04",389.329986572266,7.2649998664856
"1013",-122.26,44.21,"AND",1993,"05",209.139999389648,13.5750007629395
"1014",-122.26,44.21,"AND",1993,"06",127.339996337891,14.0750007629395
"1015",-122.26,44.21,"AND",1993,"07",54.0200004577637,15.0600004196167
"1016",-122.26,44.21,"AND",1993,"08",11.1499996185303,17.9049987792969
"1017",-122.26,44.21,"AND",1993,"09",0,17.8600006103516
"1018",-122.26,44.21,"AND",1993,"10",46.2799987792969,12.5900001525879
"1019",-122.26,44.21,"AND",1993,"11",87.8499984741211,2.67499995231628
"1020",-122.26,44.21,"AND",1993,"12",249.179992675781,2.97499990463257
"1021",-122.26,44.21,"AND",1994,"01",283.390014648438,4.09000015258789
"1022",-122.26,44.21,"AND",1994,"02",244.110000610352,2.04499983787537
"1023",-122.26,44.21,"AND",1994,"03",162.169998168945,7.01000022888184
"1024",-122.26,44.21,"AND",1994,"04",127.889999389648,9.07499980926514
"1025",-122.26,44.21,"AND",1994,"05",91.1800003051758,13.0799999237061
"1026",-122.26,44.21,"AND",1994,"06",99.75,14.1500005722046
"1027",-122.26,44.21,"AND",1994,"07",1.95000004768372,20.4950008392334
"1028",-122.26,44.21,"AND",1994,"08",1.80999994277954,18.7549991607666
"1029",-122.26,44.21,"AND",1994,"09",49.0200004577637,17.9799995422363
"1030",-122.26,44.21,"AND",1994,"10",205.320007324219,10.6700000762939
"1031",-122.26,44.21,"AND",1994,"11",400.119995117188,1.2849999666214
"1032",-122.26,44.21,"AND",1994,"12",267.239990234375,0.914999961853027
"1033",-122.26,44.21,"AND",1995,"01",376.600006103516,3.11500000953674
"1034",-122.26,44.21,"AND",1995,"02",239.630004882812,6.55000019073486
"1035",-122.26,44.21,"AND",1995,"03",187.869995117188,5.90499973297119
"1036",-122.26,44.21,"AND",1995,"04",226.100006103516,7.33500003814697
"1037",-122.26,44.21,"AND",1995,"05",119.660003662109,12.8449993133545
"1038",-122.26,44.21,"AND",1995,"06",119.470001220703,14.9349994659424
"1039",-122.26,44.21,"AND",1995,"07",46.1199989318848,19.375
"1040",-122.26,44.21,"AND",1995,"08",54.9199981689453,17.5349998474121
"1041",-122.26,44.21,"AND",1995,"09",87.4400024414062,17.8349990844727
"1042",-122.26,44.21,"AND",1995,"10",164.270004272461,10.2300004959106
"1043",-122.26,44.21,"AND",1995,"11",508.579986572266,7.47499990463257
"1044",-122.26,44.21,"AND",1995,"12",445.260009765625,3.83500003814697
"1045",-122.26,44.21,"AND",1996,"01",547.780029296875,3.13000011444092
"1046",-122.26,44.21,"AND",1996,"02",448.950012207031,2.73000001907349
"1047",-122.26,44.21,"AND",1996,"03",81.8199996948242,5.90000009536743
"1048",-122.26,44.21,"AND",1996,"04",310.929992675781,8.78000068664551
"1049",-122.26,44.21,"AND",1996,"05",204.389999389648,10.5349998474121
"1050",-122.26,44.21,"AND",1996,"06",58.560001373291,15.414999961853
"1051",-122.26,44.21,"AND",1996,"07",13.0500001907349,21.0299987792969
"1052",-122.26,44.21,"AND",1996,"08",12.8299999237061,20.0949993133545
"1053",-122.26,44.21,"AND",1996,"09",77.9599990844727,15.1049995422363
"1054",-122.26,44.21,"AND",1996,"10",270.410003662109,10.4949998855591
"1055",-122.26,44.21,"AND",1996,"11",473.519989013672,5.31999969482422
"1056",-122.26,44.21,"AND",1996,"12",808.380004882812,2.0699999332428
"1057",-122.26,44.21,"AND",1997,"01",329.410003662109,2.65499997138977
"1058",-122.26,44.21,"AND",1997,"02",227.770004272461,4.46499967575073
"1059",-122.26,44.21,"AND",1997,"03",344.200012207031,5.76500034332275
"1060",-122.26,44.21,"AND",1997,"04",227.75,7.65999984741211
"1061",-122.26,44.21,"AND",1997,"05",82.7900009155273,14.6949996948242
"1062",-122.26,44.21,"AND",1997,"06",79.4400024414062,14.9099998474121
"1063",-122.26,44.21,"AND",1997,"07",46.5699996948242,18.5599994659424
"1064",-122.26,44.21,"AND",1997,"08",39.1599998474121,20.0149993896484
"1065",-122.26,44.21,"AND",1997,"09",138.610000610352,16.4599990844727
"1066",-122.26,44.21,"AND",1997,"10",309.880004882812,10.1700000762939
"1067",-122.26,44.21,"AND",1997,"11",132.320007324219,7.17500019073486
"1068",-122.26,44.21,"AND",1997,"12",166.309997558594,2.25999999046326
"1069",-122.26,44.21,"AND",1998,"01",500.149993896484,4.04999971389771
"1070",-122.26,44.21,"AND",1998,"02",216.660003662109,4.4850001335144
"1071",-122.26,44.21,"AND",1998,"03",210.300003051758,6.23000001907349
"1072",-122.26,44.21,"AND",1998,"04",91.4599990844727,8.88500022888184
"1073",-122.26,44.21,"AND",1998,"05",196.759994506836,10.5600004196167
"1074",-122.26,44.21,"AND",1998,"06",51.6300010681152,15.8400001525879
"1075",-122.26,44.21,"AND",1998,"07",7.40999984741211,21.7449989318848
"1076",-122.26,44.21,"AND",1998,"08",2.25,20.4050006866455
"1077",-122.26,44.21,"AND",1998,"09",37.8300018310547,18.3999996185303
"1078",-122.26,44.21,"AND",1998,"10",157.5,10.4250001907349
"1079",-122.26,44.21,"AND",1998,"11",484.399993896484,5.04500007629395
"1080",-122.26,44.21,"AND",1998,"12",559.27001953125,0.805000066757202
"1081",-122.26,44.21,"AND",1999,"01",393.809997558594,2.56500005722046
"1082",-122.26,44.21,"AND",1999,"02",478.5,1.91999995708466
"1083",-122.26,44.21,"AND",1999,"03",215.800003051758,4.19999980926514
"1084",-122.26,44.21,"AND",1999,"04",74.4499969482422,7.03499984741211
"1085",-122.26,44.21,"AND",1999,"05",185.029998779297,10.1700000762939
"1086",-122.26,44.21,"AND",1999,"06",32.4799995422363,14.5749998092651
"1087",-122.26,44.21,"AND",1999,"07",8.55000019073486,18.9499988555908
"1088",-122.26,44.21,"AND",1999,"08",74.5899963378906,19.810001373291
"1089",-122.26,44.21,"AND",1999,"09",4.15999984741211,17.375
"1090",-122.26,44.21,"AND",1999,"10",107.370002746582,12.6199998855591
"1091",-122.26,44.21,"AND",1999,"11",447.640014648438,7.40000009536743
"1092",-122.26,44.21,"AND",1999,"12",353.510009765625,3.24500012397766
"1093",-122.26,44.21,"AND",2000,"01",474.279998779297,1.64000010490417
