lat,lon,ID,LTER,Spatial_level_names,Project,Notes,ppt_m,tmp_m,ppt_sd,tmp_sd,ppt_nas,tmp_nas,groupings
34.01681,-119.362097,12,SBC,Anacapa Island CA,SBC LTER: Time series of settlement of urchins and other invertebrates,,306.566893,15.44837409,160.4863212,0.522025432,0,0,1
34.43085,-119.92408,12,SBC,"Ellwood Pier, Goleta CA",SBC LTER: Time series of settlement of urchins and other invertebrates,,526.129372,14.60737594,252.6317647,0.50944021,0,0,1
34.46978,-120.22821,12,SBC,"Gaviota Pier, Santa Barbara County CA",SBC LTER: Time series of settlement of urchins and other invertebrates,,515.5538696,14.35476894,241.0984855,0.491182322,0,0,1
32.74914,-117.25662,12,SBC,"Ocean Beach, San Diego CA",SBC LTER: Time series of settlement of urchins and other invertebrates,,276.037883,17.54214555,112.4669039,0.66536648,0,0,4
39.35037,-123.82679,12,SBC,"Point Cabrillo, Mendocino County CA",SBC LTER: Time series of settlement of urchins and other invertebrates,,1053.846778,10.80987659,310.8065334,0.53439293,0,0,5
32.85039,-117.25647,12,SBC,"Scripps Peir, San Diego CA",SBC LTER: Time series of settlement of urchins and other invertebrates,,290.1275623,17.07632493,118.7937663,0.618917151,0,0,4
34.40934,-119.68493,12,SBC,"Stearns Wharf, Santa Barbara CA",SBC LTER: Time series of settlement of urchins and other invertebrates,,510.5492522,15.6740874,250.3341003,0.534211602,0,0,1
34.05076667,-119.7414167,13,SBC,BC 1,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,Altitude -30 ft,388.2436382,14.90582879,182.3938375,0.501734306,0,0,1
34.05035,-119.7406333,13,SBC,BC Point,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,Altitude -30 ft,387.5086554,14.91452603,182.0221179,0.50197094,0,0,1
34.05815,-119.75745,13,SBC,Diablo,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,Altitude -30 ft,396.1830706,14.75136543,186.4619987,0.499041924,0,0,1
34.05365,-119.7496333,13,SBC,Fern 1,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,Altitude -30 ft,396.1492671,14.83871094,186.4865579,0.500533147,0,0,1
34.05291667,-119.7470333,13,SBC,Fern O,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,Altitude -30 ft,393.6542359,14.85706071,185.1772212,0.500755357,0,0,1
34.05695,-119.7551,13,SBC,Fry's 1,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,Altitude -30 ft,396.2089918,14.77363882,186.4816305,0.498984858,0,0,1
34.05765,-119.7558833,13,SBC,Fry's 2,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,Altitude -30 ft,395.850839,14.76147172,186.3195919,0.498939522,0,0,1
34.05776667,-119.7563,13,SBC,Fry's 3,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,Altitude -30 ft,395.9623749,14.7589989,186.3673492,0.498961276,0,0,1
